DATE,LFWA64TTJPM647S
1/1/1970,70983116.11
2/1/1970,71105826.79
3/1/1970,71251812.37
4/1/1970,71342059.73
5/1/1970,71416224.15
6/1/1970,71483403.27
7/1/1970,71494627.62
8/1/1970,71610226.83
9/1/1970,71708945.18
10/1/1970,71720895.76
11/1/1970,71773096.04
12/1/1970,71755260.18
1/1/1971,71799952.04
2/1/1971,71855554.8
3/1/1971,72027477.19
4/1/1971,72053788.04
5/1/1971,72148902.3
6/1/1971,72208388.4
7/1/1971,72231111.28
8/1/1971,72341301.27
9/1/1971,72347843.93
10/1/1971,72405037.3
11/1/1971,72528622.69
12/1/1971,72514506.36
1/1/1972,72551247.5
2/1/1972,72424539.63
3/1/1972,72393062.5
4/1/1972,72472401.65
5/1/1972,72671018.97
6/1/1972,72686965
7/1/1972,73263778.17
8/1/1972,73369224.67
9/1/1972,73438314.04
10/1/1972,73603008.22
11/1/1972,73615440.72
12/1/1972,73628016.71
1/1/1973,73816958.16
2/1/1973,73871330.43
3/1/1973,73779366.89
4/1/1973,73831634.92
5/1/1973,74006642.78
6/1/1973,74072633.22
7/1/1973,74018444.09
8/1/1973,74052588.01
9/1/1973,74184087.2
10/1/1973,74302212.83
11/1/1973,74408659.45
12/1/1973,74255179.56
1/1/1974,74360038.06
2/1/1974,74548052.26
3/1/1974,74517949.15
4/1/1974,74599574.37
5/1/1974,74749865.14
6/1/1974,74796786.28
7/1/1974,74691201.3
8/1/1974,74816291.9
9/1/1974,74851576.01
10/1/1974,74908268.73
11/1/1974,74927893.73
12/1/1974,74900473.58
1/1/1975,74915893.28
2/1/1975,75024840.5
3/1/1975,75052628.02
4/1/1975,75186947.42
5/1/1975,75338866.08
6/1/1975,75499253.12
7/1/1975,75509639.83
8/1/1975,75517915.9
9/1/1975,75587634.43
10/1/1975,75632326.71
11/1/1975,75654440.02
12/1/1975,75747381.99
1/1/1976,75797614.13
2/1/1976,75767387.35
3/1/1976,75839649.59
4/1/1976,75934952.34
5/1/1976,75977152.62
6/1/1976,76055868.2
7/1/1976,76112800.43
8/1/1976,76185512.45
9/1/1976,76256924.41
10/1/1976,76201562.56
11/1/1976,76197022.06
12/1/1976,76324036.4
1/1/1977,76395623.69
2/1/1977,76389902.73
3/1/1977,76475249.43
4/1/1977,76532198.65
5/1/1977,76541345.84
6/1/1977,76604271.69
7/1/1977,76682972.62
8/1/1977,76722299.93
9/1/1977,76766096.07
10/1/1977,76763095.84
11/1/1977,76841921.84
12/1/1977,76891682.32
1/1/1978,76826018.55
2/1/1978,76933823.88
3/1/1978,76939166.81
4/1/1978,77013968.6
5/1/1978,77182504.42
6/1/1978,77192513.01
7/1/1978,77160035.68
8/1/1978,77224207.07
9/1/1978,77282976.76
10/1/1978,77365948.03
11/1/1978,77394169.23
12/1/1978,77386912.5
1/1/1979,77493636.12
2/1/1979,77515505.22
3/1/1979,77543550.77
4/1/1979,77573661.28
5/1/1979,77631549.43
6/1/1979,77697715.2
7/1/1979,77755705.81
8/1/1979,77783192.94
9/1/1979,77855896.03
10/1/1979,77903030.59
11/1/1979,77990397.23
12/1/1979,78018210.64
1/1/1980,78045798.96
2/1/1980,78054222.73
3/1/1980,78123758.72
4/1/1980,78251795.04
5/1/1980,78291796.57
6/1/1980,78381281.9
7/1/1980,78460680.42
8/1/1980,78518419.84
9/1/1980,78667749.46
10/1/1980,78696069.96
11/1/1980,78711317.74
12/1/1980,78726442.89
1/1/1981,78785575.92
2/1/1981,78773621.82
3/1/1981,78873550.89
4/1/1981,78857101.54
5/1/1981,78840822.47
6/1/1981,78854454.14
7/1/1981,78948282.94
8/1/1981,78967484.12
9/1/1981,78999074.97
10/1/1981,79021434.59
11/1/1981,79086392.19
12/1/1981,79098567.69
1/1/1982,79132154.51
2/1/1982,79282275.1
3/1/1982,79386808.18
4/1/1982,79397906.51
5/1/1982,79488915.06
6/1/1982,79508308.58
7/1/1982,79545021.73
8/1/1982,79661900.11
9/1/1982,79711234.91
10/1/1982,79771240.37
11/1/1982,79834727.73
12/1/1982,79994492.51
1/1/1983,80106897.07
2/1/1983,80147010.58
3/1/1983,80090172.08
4/1/1983,80126822.41
5/1/1983,80237911.38
6/1/1983,80326519.77
7/1/1983,80350384.51
8/1/1983,80456743
9/1/1983,80491880.74
10/1/1983,80549541.46
11/1/1983,80616682.86
12/1/1983,80691067.5
1/1/1984,80673824.43
2/1/1984,80731467.08
3/1/1984,80802137.85
4/1/1984,80900212.2
5/1/1984,80997720.26
6/1/1984,81110465.22
7/1/1984,81157835.12
8/1/1984,81226969.2
9/1/1984,81366843.94
10/1/1984,81386776.64
11/1/1984,81397414.59
12/1/1984,81443522.44
1/1/1985,81517293.82
2/1/1985,81559978.8
3/1/1985,81568407.79
4/1/1985,81632996.25
5/1/1985,81765210.06
6/1/1985,81794979.5
7/1/1985,81837237.47
8/1/1985,81809540.31
9/1/1985,81978899.68
10/1/1985,82081485.1
11/1/1985,82140956.77
12/1/1985,82165165.01
1/1/1986,82253597.88
2/1/1986,82382367.37
3/1/1986,82470736.44
4/1/1986,82488665.37
5/1/1986,82372958.17
6/1/1986,82468040.99
7/1/1986,82697277.12
8/1/1986,82807193.39
9/1/1986,82879025.86
10/1/1986,82948897.85
11/1/1986,82930893.8
12/1/1986,83005031.24
1/1/1987,83035682.89
2/1/1987,83089322.9
3/1/1987,83261784.09
4/1/1987,83313800.29
5/1/1987,83318357.06
6/1/1987,83392893.48
7/1/1987,83492570.7
8/1/1987,83614264.66
9/1/1987,83571264.04
10/1/1987,83646045.02
11/1/1987,83814788.85
12/1/1987,83932551.05
1/1/1988,84002061.11
2/1/1988,83995418.92
3/1/1988,83986554.34
4/1/1988,84176538.44
5/1/1988,84306383.14
6/1/1988,84275839.27
7/1/1988,84350169.4
8/1/1988,84369447.97
9/1/1988,84433244.44
10/1/1988,84503562.49
11/1/1988,84643228.29
12/1/1988,84685297.68
1/1/1989,84665598.87
2/1/1989,84738118.77
3/1/1989,84813913.9
4/1/1989,84849776.99
5/1/1989,84955336.61
6/1/1989,85059104.96
7/1/1989,85162097.65
8/1/1989,85166496.47
9/1/1989,85226018.32
10/1/1989,85254032.45
11/1/1989,85296869.99
12/1/1989,85389617.62
1/1/1990,85408941.41
2/1/1990,85443158.1
3/1/1990,85476645.38
4/1/1990,85491529.21
5/1/1990,85640564.84
6/1/1990,85665177.63
7/1/1990,85634564.14
8/1/1990,85640555.83
9/1/1990,85809571.44
10/1/1990,85914886.28
11/1/1990,85797656.16
12/1/1990,85788142.31
1/1/1991,85915895.62
2/1/1991,85927397.69
3/1/1991,86071765.58
4/1/1991,86115499.62
5/1/1991,86050983.16
6/1/1991,86136053.88
7/1/1991,86162981.01
8/1/1991,86274176.41
9/1/1991,86323249.45
10/1/1991,86246315.98
11/1/1991,86243842.45
12/1/1991,86245662.12
1/1/1992,86308590.54
2/1/1992,86436587.11
3/1/1992,86381538.87
4/1/1992,86305441.98
5/1/1992,86335117.4
6/1/1992,86418558.53
7/1/1992,86474282.33
8/1/1992,86560233.32
9/1/1992,86533561.72
10/1/1992,86603666.81
11/1/1992,86684263.84
12/1/1992,86673265.3
1/1/1993,86667962.16
2/1/1993,86677917.54
3/1/1993,86685407.76
4/1/1993,86732376.33
5/1/1993,86759135.28
6/1/1993,86759428.78
7/1/1993,86793034.79
8/1/1993,86836976.26
9/1/1993,86793477.14
10/1/1993,86825431.76
11/1/1993,86918086.85
12/1/1993,86950030.63
1/1/1994,86899667.86
2/1/1994,86844939.12
3/1/1994,86845117.2
4/1/1994,86897083.6
5/1/1994,86935261.59
6/1/1994,86869618.18
7/1/1994,86869953
8/1/1994,86922492.25
9/1/1994,86920719.48
10/1/1994,86899123.25
11/1/1994,86894520.93
12/1/1994,86914155.91
1/1/1995,86924604.29
2/1/1995,86894112.38
3/1/1995,86978549.7
4/1/1995,86969008.73
5/1/1995,86922248.78
6/1/1995,86937056.01
7/1/1995,86906227.09
8/1/1995,86878822.63
9/1/1995,86892722.22
10/1/1995,86887659.23
11/1/1995,86913631.69
12/1/1995,86884037.36
1/1/1996,86837095.08
2/1/1996,86827967.21
3/1/1996,86794480.87
4/1/1996,86815046.21
5/1/1996,86785519.13
6/1/1996,86831735.47
7/1/1996,86816954.83
8/1/1996,86783760.71
9/1/1996,86791274.54
10/1/1996,86766613.5
11/1/1996,86724944.46
12/1/1996,86711748.16
1/1/1997,86946563.13
2/1/1997,86942135.61
3/1/1997,86933464.66
4/1/1997,86909121.71
5/1/1997,86907060.92
6/1/1997,86947330.44
7/1/1997,86900465.73
8/1/1997,86843573.02
9/1/1997,86884395.97
10/1/1997,86884987.8
11/1/1997,86809207.16
12/1/1997,86806286.26
1/1/1998,86780421.44
2/1/1998,86827690.02
3/1/1998,86851350.67
4/1/1998,86810976.8
5/1/1998,86790177.21
6/1/1998,86799118.94
7/1/1998,86839862.52
8/1/1998,86866474.62
9/1/1998,86796402.17
10/1/1998,86787973
11/1/1998,86778572.52
